ID,Nebenkategorie
2111,Hände&Haut
2081,Vollwaschmittel
2015,Textilboden
2085,Waschhilfsmittel
2112,Flächen
2014,Hartboden/Spezialprodukte
2052,ManuellesGeschirrspülen
2062,Spendersysteme
2011,Hartboden/Unterhaltsreiniger
2083,Hygienewaschmittel
2061,Sanitärreiniger
2051,MaschinellesGeschirrspülen
2063,Seifen
XX,keinePIMNebenkategorie
2082,Feinwaschmittel
2017,Holz
2122,Sonstiges
2012,Hartboden/Grundreiniger
2018,Metall/Edelstahl
2067,Sauna
2065,Hotelbedarf
2104,BodyCare
2053,Küchenreinigung(inkl.Boden)
2054,Küchendesinfektion
2113,Instrumente
2022,Reinigungswagen
2016,Glas-/Kunststoffreinigung
2064,Hygienepapiere
2056,Einwegartikel
2115,Dosierhilfen+-Technik
2114,Maschinelle
2035,AllgemeineHilfsmittel
2095,Sonstiges
2036,Glas-/Fensterreinigung
2013,Hartboden/Beschichtung
2084,Weichspüler
2109,SonstigeInko-Hilfsmittel
2092,Arbeitsschutz
2121,Handschuhe
2055,Personalhygiene
2105,Sensilind-BodyCare
2066,Schwimmbad
2091,Wischtuchsysteme
2071,Wertsoffentsorgung
2033,Schwämme
2106,Desomed-BodyCare
2107,Steckbecken
2046,SonstigeMaschinenundZubehör
2021,Feucht-/Nasswischsysteme
2031,Pads
2032,Tücher
2034,Besen/Bürsten
2037,Dosiercenter
2041,Staubsauger
2042,Staub-/Wassersauger
2043,Einscheiben-/Mehrscheibenmaschine
2044,Reinigungsautomaten
2045,Teppichreinigung
2048,Kehrmaschine
2057,Verpackungsmaterial
2058,"Servietten/Tischpapiere"
2059,Kerzen+Dekoration
2072,"Abfallsäcke,-beutelund-eimer"
2073,Wäschetransportsysteme
2074,Hotel-undServierwagen
2086,Waschmaschinen&Wäschetrockner
2093,Schmutzfangmatten
2094,Leitern
2101,Ontex-Inko
2102,Sensilind-Inko
2103,Sensilind-Hilfsmittel
2108,Tena-Inko
